engine,case_id,axis,scope,source,symbol,stage,quote_at,close_available_at,decision_at,submit_at,decision_px,quote_age_seconds,action,baseline_status,baseline_reason,baseline_fill_at,baseline_fill_px,baseline_shares,baseline_cash_after,next_status,next_reason,next_fill_at,next_fill_px,next_shares,next_cash_after,status_match,matched_fill,same_price,price_diff,price_diff_bp,fixed_exit_day,fixed_exit_px,baseline_local_pnl,next_local_pnl,baseline_local_return,next_local_return,local_pnl_delta,local_return_delta_bp,baseline_local_rank,next_local_rank,local_rank_delta
Book,abandon,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00.001000,9.9,0.0,abandon,NO_FILL,abandon,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,True,False,,,,2026-09-21,10.7,,,,,,,,,
Book,decision_limit,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00,2026-09-17 09:45:00.001000,11.0,0.0,limit,NO_FILL,limit,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,True,False,,,,2026-09-21,10.7,,,,,,,,,
v7,trial_add,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,10.4,0.0,add_a104,FILLED,buy:add_a104,2026-09-17 14:45:00,10.4,19200,800120.3200000001,FILLED,first_eligible_open,2026-09-17 14:46:00,10.6,19200,796276.48,True,True,False,0.1999999999999993,192.30769230769164,2026-09-21,10.9,9191.040000000008,5347.200000000012,0.04598286329055564,0.026247337568092343,-3843.8399999999965,-197.35525722463296,1.0,4.0,3.0
v7,four_add,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,four,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,10.8,0.0,add_a108,FILLED,buy:add_a108,2026-09-17 14:45:00,10.8,18500,800000.2,FILLED,first_eligible_open,2026-09-17 14:46:00,11.0,18500,796296.5,True,True,False,0.1999999999999993,185.1851851851838,2026-09-21,11.3,8841.150000000023,5137.450000000012,0.044205794205794326,0.02522023431114346,-3703.7000000000116,-189.85559894650865,2.0,5.0,3.0
v7,six_add,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,six,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,11.2,0.0,add_a112,FILLED,buy:add_a112,2026-09-17 14:45:00,11.2,17800,800440.64,FILLED,first_eligible_open,2026-09-17 14:46:00,11.399999999999999,17800,796877.0800000001,True,True,False,0.1999999999999993,178.57142857142793,2026-09-21,11.7,8492.380000000005,4928.820000000007,0.042555658627087226,0.024265208475734826,-3563.5599999999977,-182.904501513524,3.0,6.0,3.0
v7,eight_add,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,eight,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,11.6,0.0,add_a116,FILLED,buy:add_a116,2026-09-17 14:45:00,11.6,17200,800280.48,FILLED,first_eligible_open,2026-09-17 14:46:00,11.799999999999999,17200,796837.04,True,True,False,0.1999999999999993,172.41379310344752,2026-09-21,12.1,8192.360000000015,4748.920000000042,0.0410193255020842,0.023374930154591383,-3443.439999999973,-176.4439534749282,4.0,7.0,3.0
v7,down,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,10.4,0.0,add_a104,FILLED,buy:add_a104,2026-09-17 14:45:00,10.4,19200,800120.3200000001,FILLED,first_eligible_open,2026-09-17 14:46:00,10.1,19200,805886.08,True,True,False,-0.3000000000000007,-288.46153846153965,2026-09-21,10.8,7272.960000000021,13038.720000000001,0.03638669023284419,0.06717045330906717,5765.75999999998,307.83763076222976,5.0,1.0,-4.0
v7,unchanged_price,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,10.4,0.0,add_a104,FILLED,buy:add_a104,2026-09-17 14:45:00,10.4,19200,800120.3200000001,FILLED,first_eligible_open,2026-09-17 14:46:00,10.4,19200,800120.3200000001,True,True,True,0.0,0.0,2026-09-21,10.7,5354.880000000005,5354.880000000005,0.026790517175132585,0.026790517175132585,0.0,0.0,8.0,3.0,-5.0
v7,missing_bar,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,10.4,0.0,add_a104,FILLED,buy:add_a104,2026-09-17 14:45:00,10.4,19200,800120.3200000001,FILLED,first_eligible_open,2026-09-17 14:50:00,10.5,19200,798198.4,True,True,False,0.09999999999999964,96.15384615384582,2026-09-21,10.7,5354.880000000005,3432.959999999992,0.026790517175132585,0.017011559868702685,-1921.9200000000128,-97.789573064299,8.0,8.5,0.5
v7,overnight,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 14:55:00,2026-09-17 14:55:00,2026-09-17 14:55:00,2026-09-17 14:55:00.001000,10.4,0.0,add_a104,FILLED,buy:add_a104,2026-09-17 14:55:00,10.4,19200,800120.3200000001,FILLED,first_eligible_open,2026-09-18 09:30:00,10.6,19200,796276.48,True,True,False,0.1999999999999993,192.30769230769164,2026-09-21,10.7,5354.880000000005,1511.0400000000081,0.026790517175132585,0.0074171111906961365,-3843.8399999999965,-193.73405984436448,8.0,10.0,2.0
v7,limit_release,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,10.4,0.0,add_a104,FILLED,buy:add_a104,2026-09-17 14:45:00,10.4,19200,800120.3200000001,FILLED,first_eligible_open,2026-09-17 14:47:00,10.5,19200,798198.4,True,True,False,0.09999999999999964,96.15384615384582,2026-09-21,10.7,5354.880000000005,3432.959999999992,0.026790517175132585,0.017011559868702685,-1921.9200000000128,-97.789573064299,8.0,8.5,0.5
v7,limit_down_release,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,10.4,0.0,add_a104,FILLED,buy:add_a104,2026-09-17 14:45:00,10.4,19200,800120.3200000001,FILLED,first_eligible_open,2026-09-17 14:47:00,10.3,19200,802042.24,True,True,False,-0.09999999999999964,-96.15384615384582,2026-09-21,10.7,5354.880000000005,7276.799999999988,0.026790517175132585,0.0367593571477066,1921.9199999999837,99.68839972574018,8.0,2.0,-6.0
v7,limit_exhausted,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,10.4,0.0,add_a104,FILLED,buy:add_a104,2026-09-17 14:45:00,10.4,19200,800120.3200000001,UNFILLED,limit_up,,,0,1000000.0,False,False,,,,2026-09-21,10.7,5354.880000000005,,0.026790517175132585,,,,,,
v7,no_next_bar,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,10.4,0.0,add_a104,FILLED,buy:add_a104,2026-09-17 14:45:00,10.4,19200,800120.3200000001,UNFILLED,no_candidate,,,0,1000000.0,False,False,,,,2026-09-21,10.7,5354.880000000005,,0.026790517175132585,,,,,,
v7,no_signal,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00,2026-09-17 14:45:00.001000,10.3,0.0,none,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,True,False,,,,2026-09-21,10.7,,,,,,,,,
v7,outside_add_window,clock,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,constructed_fixture,600000.SH,trial,2026-09-17 14:44:00,2026-09-17 14:44:00,2026-09-17 14:44:00,2026-09-17 14:44:00.001000,10.4,0.0,outside_add_window,NO_FILL,outside_add_window,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,True,False,,,,2026-09-21,10.7,,,,,,,,,
