engine,case_id,role,date,hm,open,close,high,low,bar_start,bar_end
v7,four_add,baseline_input,2026-09-17,885,10.8,10.8,10.8,10.8,2026-09-17 14:44:00,2026-09-17 14:45:00
v7,four_add,candidate,2026-09-17,886,10.8,10.8,10.8,10.8,2026-09-17 14:45:00,2026-09-17 14:46:00
v7,four_add,candidate,2026-09-17,887,11.0,11.0,11.0,11.0,2026-09-17 14:46:00,2026-09-17 14:47:00
v7,six_add,baseline_input,2026-09-17,885,11.2,11.2,11.2,11.2,2026-09-17 14:44:00,2026-09-17 14:45:00
v7,six_add,candidate,2026-09-17,886,11.2,11.2,11.2,11.2,2026-09-17 14:45:00,2026-09-17 14:46:00
v7,six_add,candidate,2026-09-17,887,11.399999999999999,11.399999999999999,11.399999999999999,11.399999999999999,2026-09-17 14:46:00,2026-09-17 14:47:00
v7,eight_add,baseline_input,2026-09-17,885,11.6,11.6,11.6,11.6,2026-09-17 14:44:00,2026-09-17 14:45:00
v7,eight_add,candidate,2026-09-17,886,11.6,11.6,11.6,11.6,2026-09-17 14:45:00,2026-09-17 14:46:00
v7,eight_add,candidate,2026-09-17,887,11.799999999999999,11.799999999999999,11.799999999999999,11.799999999999999,2026-09-17 14:46:00,2026-09-17 14:47:00
v7,down,baseline_input,2026-09-17,885,10.4,10.4,10.4,10.4,2026-09-17 14:44:00,2026-09-17 14:45:00
v7,down,candidate,2026-09-17,887,10.1,10.1,10.1,10.1,2026-09-17 14:46:00,2026-09-17 14:47:00
v7,unchanged_price,baseline_input,2026-09-17,885,10.4,10.4,10.4,10.4,2026-09-17 14:44:00,2026-09-17 14:45:00
v7,unchanged_price,candidate,2026-09-17,887,10.4,10.4,10.4,10.4,2026-09-17 14:46:00,2026-09-17 14:47:00
v7,missing_bar,baseline_input,2026-09-17,885,10.4,10.4,10.4,10.4,2026-09-17 14:44:00,2026-09-17 14:45:00
v7,missing_bar,candidate,2026-09-17,891,10.5,10.5,10.5,10.5,2026-09-17 14:50:00,2026-09-17 14:51:00
v7,overnight,baseline_input,2026-09-17,895,10.4,10.4,10.4,10.4,2026-09-17 14:54:00,2026-09-17 14:55:00
v7,overnight,candidate,2026-09-18,571,10.6,10.6,10.6,10.6,2026-09-18 09:30:00,2026-09-18 09:31:00
v7,limit_release,baseline_input,2026-09-17,885,10.4,10.4,10.4,10.4,2026-09-17 14:44:00,2026-09-17 14:45:00
v7,limit_release,candidate,2026-09-17,887,11.0,11.0,11.0,11.0,2026-09-17 14:46:00,2026-09-17 14:47:00
v7,limit_release,candidate,2026-09-17,888,10.5,10.5,10.5,10.5,2026-09-17 14:47:00,2026-09-17 14:48:00
v7,limit_down_release,baseline_input,2026-09-17,885,10.4,10.4,10.4,10.4,2026-09-17 14:44:00,2026-09-17 14:45:00
v7,limit_down_release,candidate,2026-09-17,887,9.0,9.0,9.0,9.0,2026-09-17 14:46:00,2026-09-17 14:47:00
v7,limit_down_release,candidate,2026-09-17,888,10.3,10.3,10.3,10.3,2026-09-17 14:47:00,2026-09-17 14:48:00
v7,limit_exhausted,baseline_input,2026-09-17,885,10.4,10.4,10.4,10.4,2026-09-17 14:44:00,2026-09-17 14:45:00
v7,limit_exhausted,candidate,2026-09-17,887,11.0,11.0,11.0,11.0,2026-09-17 14:46:00,2026-09-17 14:47:00
v7,no_next_bar,baseline_input,2026-09-17,885,10.4,10.4,10.4,10.4,2026-09-17 14:44:00,2026-09-17 14:45:00
v7,no_signal,baseline_input,2026-09-17,885,10.3,10.3,10.3,10.3,2026-09-17 14:44:00,2026-09-17 14:45:00
v7,no_signal,candidate,2026-09-17,887,10.4,10.4,10.4,10.4,2026-09-17 14:46:00,2026-09-17 14:47:00
v7,outside_add_window,baseline_input,2026-09-17,884,10.4,10.4,10.4,10.4,2026-09-17 14:43:00,2026-09-17 14:44:00
v7,outside_add_window,candidate,2026-09-17,887,10.4,10.4,10.4,10.4,2026-09-17 14:46:00,2026-09-17 14:47:00
