engine,case_id,scope,axis,scheme,slip_per_side_bp,shares,coverage,buy_px,sell_px,buy_fee,sell_fee,stamp_fee,net_pnl,net_return,pnl_delta,return_delta_bp,baseline_local_rank,scenario_local_rank,local_rank_delta
Book,unchanged_price,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,900,commission_proxy_only,10.2204,10.6786,9.198360000000001,9.61074,0.0,393.5708999999988,0.04274432858441299,-37.61910000000171,-41.793359863104634,5.0,5.0,0.0
Book,unchanged_price,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,unchanged_price,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,900,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,10.2,10.7,5.0,5.0,4.815,435.1849999999995,0.04737996733805112,3.9949999999989814,4.563027673276654,5.0,5.0,0.0
Book,fallback_0943,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,fallback_0943,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,900,commission_proxy_only,10.205099999999998,10.69465,9.184589999999998,9.625185,0.0,421.7852249999996,0.045877264106384805,-9.404775000000882,-10.464004643386469,5.0,5.0,0.0
Book,fallback_0943,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,900,commission_proxy_only,10.210199999999999,10.6893,9.189179999999999,9.62037,0.0,412.38045000000056,0.044831908997155584,-18.809549999999945,-20.917555735678675,5.0,5.0,0.0
Book,fallback_0943,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,900,commission_proxy_only,10.2204,10.6786,9.198360000000001,9.61074,0.0,393.5708999999988,0.04274432858441299,-37.61910000000171,-41.793359863104634,5.0,5.0,0.0
Book,fallback_0943,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,fallback_0943,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,900,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,10.2,10.7,5.0,5.0,4.815,435.1849999999995,0.04737996733805112,3.9949999999989814,4.563027673276654,5.0,5.0,0.0
Book,missing_bar,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,missing_bar,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,900,commission_proxy_only,10.205099999999998,10.69465,9.184589999999998,9.625185,0.0,421.7852249999996,0.045877264106384805,-9.404775000000882,-10.464004643386469,5.0,5.0,0.0
Book,missing_bar,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,900,commission_proxy_only,10.210199999999999,10.6893,9.189179999999999,9.62037,0.0,412.38045000000056,0.044831908997155584,-18.809549999999945,-20.917555735678675,5.0,5.0,0.0
Book,missing_bar,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,900,commission_proxy_only,10.2204,10.6786,9.198360000000001,9.61074,0.0,393.5708999999988,0.04274432858441299,-37.61910000000171,-41.793359863104634,5.0,5.0,0.0
Book,missing_bar,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,missing_bar,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,900,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,10.2,10.7,5.0,5.0,4.815,435.1849999999995,0.04737996733805112,3.9949999999989814,4.563027673276654,5.0,5.0,0.0
Book,limit_release,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,limit_release,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,900,commission_proxy_only,10.205099999999998,10.69465,9.184589999999998,9.625185,0.0,421.7852249999996,0.045877264106384805,-9.404775000000882,-10.464004643386469,5.0,5.0,0.0
Book,limit_release,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,900,commission_proxy_only,10.210199999999999,10.6893,9.189179999999999,9.62037,0.0,412.38045000000056,0.044831908997155584,-18.809549999999945,-20.917555735678675,5.0,5.0,0.0
Book,limit_release,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,900,commission_proxy_only,10.2204,10.6786,9.198360000000001,9.61074,0.0,393.5708999999988,0.04274432858441299,-37.61910000000171,-41.793359863104634,5.0,5.0,0.0
Book,limit_release,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,limit_release,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,900,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,10.2,10.7,5.0,5.0,4.815,435.1849999999995,0.04737996733805112,3.9949999999989814,4.563027673276654,5.0,5.0,0.0
Book,limit_exhausted,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,limit_exhausted,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,900,commission_proxy_only,10.205099999999998,10.69465,9.184589999999998,9.625185,0.0,421.7852249999996,0.045877264106384805,-9.404775000000882,-10.464004643386469,5.0,5.0,0.0
Book,limit_exhausted,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,900,commission_proxy_only,10.210199999999999,10.6893,9.189179999999999,9.62037,0.0,412.38045000000056,0.044831908997155584,-18.809549999999945,-20.917555735678675,5.0,5.0,0.0
Book,limit_exhausted,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,900,commission_proxy_only,10.2204,10.6786,9.198360000000001,9.61074,0.0,393.5708999999988,0.04274432858441299,-37.61910000000171,-41.793359863104634,5.0,5.0,0.0
Book,limit_exhausted,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,limit_exhausted,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,900,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,10.2,10.7,5.0,5.0,4.815,435.1849999999995,0.04737996733805112,3.9949999999989814,4.563027673276654,5.0,5.0,0.0
Book,overnight,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,overnight,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,900,commission_proxy_only,10.205099999999998,10.69465,9.184589999999998,9.625185,0.0,421.7852249999996,0.045877264106384805,-9.404775000000882,-10.464004643386469,5.0,5.0,0.0
Book,overnight,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,900,commission_proxy_only,10.210199999999999,10.6893,9.189179999999999,9.62037,0.0,412.38045000000056,0.044831908997155584,-18.809549999999945,-20.917555735678675,5.0,5.0,0.0
Book,overnight,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,900,commission_proxy_only,10.2204,10.6786,9.198360000000001,9.61074,0.0,393.5708999999988,0.04274432858441299,-37.61910000000171,-41.793359863104634,5.0,5.0,0.0
Book,overnight,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,overnight,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,900,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,10.2,10.7,5.0,5.0,4.815,435.1849999999995,0.04737996733805112,3.9949999999989814,4.563027673276654,5.0,5.0,0.0
Book,cash_reject,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,cash_reject,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,900,commission_proxy_only,10.205099999999998,10.69465,9.184589999999998,9.625185,0.0,421.7852249999996,0.045877264106384805,-9.404775000000882,-10.464004643386469,5.0,5.0,0.0
Book,cash_reject,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,900,commission_proxy_only,10.210199999999999,10.6893,9.189179999999999,9.62037,0.0,412.38045000000056,0.044831908997155584,-18.809549999999945,-20.917555735678675,5.0,5.0,0.0
Book,cash_reject,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,900,commission_proxy_only,10.2204,10.6786,9.198360000000001,9.61074,0.0,393.5708999999988,0.04274432858441299,-37.61910000000171,-41.793359863104634,5.0,5.0,0.0
Book,cash_reject,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,cash_reject,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,900,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,10.2,10.7,5.0,5.0,4.815,435.1849999999995,0.04737996733805112,3.9949999999989814,4.563027673276654,5.0,5.0,0.0
Book,no_next_bar,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,no_next_bar,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,900,commission_proxy_only,10.205099999999998,10.69465,9.184589999999998,9.625185,0.0,421.7852249999996,0.045877264106384805,-9.404775000000882,-10.464004643386469,5.0,5.0,0.0
Book,no_next_bar,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,900,commission_proxy_only,10.210199999999999,10.6893,9.189179999999999,9.62037,0.0,412.38045000000056,0.044831908997155584,-18.809549999999945,-20.917555735678675,5.0,5.0,0.0
Book,no_next_bar,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,900,commission_proxy_only,10.2204,10.6786,9.198360000000001,9.61074,0.0,393.5708999999988,0.04274432858441299,-37.61910000000171,-41.793359863104634,5.0,5.0,0.0
Book,no_next_bar,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,900,commission_proxy_only,10.2,10.7,9.18,9.63,0.0,431.1900000000005,0.04692366457072345,0.0,0.0,5.0,5.0,0.0
Book,no_next_bar,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,900,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,10.2,10.7,5.0,5.0,4.815,435.1849999999995,0.04737996733805112,3.9949999999989814,4.563027673276654,5.0,5.0,0.0
v7,trial_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,19200,commission_proxy_only,10.4,10.9,199.68,209.28,0.0,9191.040000000008,0.04598286329055564,0.0,0.0,1.0,1.0,0.0
v7,trial_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,19200,commission_proxy_only,10.4052,10.89455,199.77984000000004,209.17536,0.0,8986.564799999993,0.044937403157331614,-204.47520000001532,-10.454601332240271,1.0,1.0,0.0
v7,trial_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,19200,commission_proxy_only,10.4104,10.889100000000001,199.87968,209.07072000000002,0.0,8782.089600000036,0.04389298743982539,-408.95039999997243,-20.89875850730248,1.0,1.0,0.0
v7,trial_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,19200,commission_proxy_only,10.4208,10.8782,200.07935999999998,208.86144000000002,0.0,8373.139200000005,0.041807282997978555,-817.9008000000031,-41.75580292577086,1.0,1.0,0.0
v7,trial_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,19200,commission_proxy_only,10.4,10.9,199.68,209.28,0.0,9191.040000000008,0.04598286329055564,0.0,0.0,1.0,1.0,0.0
v7,trial_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,19200,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,10.4,10.9,59.903999999999996,62.78399999999999,104.64,9372.671999999962,0.046924384223194386,181.63199999995413,9.415209326387453,1.0,1.0,0.0
v7,four_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,18500,commission_proxy_only,10.8,11.3,199.8,209.05,0.0,8841.150000000023,0.044205794205794326,0.0,0.0,2.0,2.0,0.0
v7,four_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,18500,commission_proxy_only,10.8054,11.294350000000001,199.89990000000003,208.94547500000004,0.0,8636.729625000036,0.04316211025356471,-204.42037499998696,-10.436839522296182,2.0,2.0,0.0
v7,four_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,18500,commission_proxy_only,10.8108,11.2887,199.99980000000002,208.84095000000002,0.0,8432.309249999991,0.04211946894264572,-408.84075000003213,-20.86325263148607,2.0,2.0,0.0
v7,four_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,18500,commission_proxy_only,10.8216,11.2774,200.1996,208.6319,0.0,8023.468499999988,0.0400373080013798,-817.6815000000352,-41.68486204414526,2.0,2.0,0.0
v7,four_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,18500,commission_proxy_only,10.8,11.3,199.8,209.05,0.0,8841.150000000023,0.044205794205794326,0.0,0.0,2.0,2.0,0.0
v7,four_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,18500,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,10.8,11.3,59.94,62.714999999999996,104.525,9022.820000000007,0.04514571554459591,181.6699999999837,9.399213388015873,2.0,2.0,0.0
v7,six_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,17800,commission_proxy_only,11.2,11.7,199.36,208.26,0.0,8492.380000000005,0.042555658627087226,0.0,0.0,3.0,3.0,0.0
v7,six_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,17800,commission_proxy_only,11.205599999999999,11.69415,199.45967999999996,208.15587,0.0,8288.574450000044,0.04151362398578099,-203.80554999996093,-10.420346413062346,3.0,3.0,0.0
v7,six_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,17800,commission_proxy_only,11.211199999999998,11.6883,199.55935999999997,208.05174,0.0,8084.768900000025,0.040472630338122116,-407.61109999998007,-20.830282889651095,3.0,3.0,0.0
v7,six_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,17800,commission_proxy_only,11.222399999999999,11.676599999999999,199.75871999999998,207.84348,0.0,7677.157799999986,0.03839375979025245,-815.2222000000183,-41.61898836834772,3.0,3.0,0.0
v7,six_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,17800,commission_proxy_only,11.2,11.7,199.36,208.26,0.0,8492.380000000005,0.042555658627087226,0.0,0.0,3.0,3.0,0.0
v7,six_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,17800,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,11.2,11.7,59.80799999999999,62.477999999999994,104.13,8673.584000000003,0.04349409462875425,181.2039999999979,9.384360016670215,3.0,3.0,0.0
v7,eight_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,17200,commission_proxy_only,11.6,12.1,199.52,208.12,0.0,8192.360000000015,0.0410193255020842,0.0,0.0,4.0,4.0,0.0
v7,eight_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,17200,commission_proxy_only,11.605799999999999,12.09395,199.61975999999999,208.01594,0.0,7988.544300000009,0.039978826426120065,-203.81570000000647,-10.40499075964138,4.0,4.0,0.0
v7,eight_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,17200,commission_proxy_only,11.611599999999997,12.0879,199.71951999999996,207.91187999999997,0.0,7784.728600000002,0.03893936680977228,-407.63140000001295,-20.79958692311923,4.0,4.0,0.0
v7,eight_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,17200,commission_proxy_only,11.623199999999999,12.0758,199.91904,207.70376,0.0,7377.097199999989,0.03686355973161667,-815.2628000000259,-41.55765770467536,4.0,4.0,0.0
v7,eight_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,17200,commission_proxy_only,11.6,12.1,199.52,208.12,0.0,8192.360000000015,0.0410193255020842,0.0,0.0,4.0,4.0,0.0
v7,eight_add,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,REPLACE_COMMISSION_3BP_MIN5_STAMP_SELL5BP,0,17200,replacement_commission_min5_plus_assumed_sell_stamp5bp_no_transfer,11.6,12.1,59.855999999999995,62.43599999999999,104.06,8373.648000000016,0.04195637860366036,181.28800000000047,9.370531015761575,4.0,4.0,0.0
v7,down,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,0,19200,commission_proxy_only,10.4,10.8,199.68,207.36,0.0,7272.960000000021,0.03638669023284419,0.0,0.0,5.0,5.0,0.0
v7,down,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,5,19200,commission_proxy_only,10.4052,10.7946,199.77984000000004,207.25632000000002,0.0,7069.443839999993,0.03535082147698912,-203.51616000002832,-10.358687558550683,5.0,5.0,0.0
v7,down,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,10,19200,commission_proxy_only,10.4104,10.789200000000001,199.87968,207.15264000000002,0.0,6865.9276800000225,0.03431598755505629,-407.03231999999844,-20.70702677787896,5.0,5.0,0.0
v7,down,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,slippage,BILATERAL_10BP,20,19200,commission_proxy_only,10.4208,10.778400000000001,200.07935999999998,206.94528000000003,0.0,6458.895360000024,0.03224941801634582,-814.0646399999969,-41.37272216498365,5.0,5.0,0.0
v7,down,SYNTHETIC_LOCAL_PRICE_ONLY_NOT_STRATEGY_REPLAY,fee,BILATERAL_10BP,0,19200,commission_proxy_only,10.4,10.8,199.68,207.36,0.0,7272.960000000021,0.03638669023284419,0.0,0.0,5.0,5.0,0.0
